Current_Customer,CompanyID,Founded_Year,Company_HQ_Phone,Fax,Revenue_(in_000s_USD),Revenue_Range_(in_USD),Est_Marketing_Department_Budget_(in_000s_USD),Est_Finance_Department_Budget_(in_000s_USD),Est_IT_Department_Budget_(in_000s_USD),Est_HR_Department_Budget_(in_000s_USD),Employees,Employee_Range,Past_1_Year_Employee_Growth_Rate,Past_2_Year_Employee_Growth_Rate,SIC_Code_1,SIC_Code_2,SIC_Codes,NAICS_Code_1,NAICS_Code_2,NAICS_Codes,Primary_Industry,Primary_Sub-Industry,All_Industries,All_Sub-Industries,Industry_Hierarchical_Category,Secondary_Industry_Hierarchical_Category,Alexa_Rank,Ownership_Type,Business_Model,Certified_Active_Company,Certification_Date,Total_Funding_Amount_(in_000s_USD),Recent_Funding_Amount_(in_000s_USD),Recent_Funding_Round,Recent_Funding_Date,Recent_Investors,All_Investors,Company_City,Company_State,Company_Zip_Code,Company_Country,Number_of_Locations,Company_Is_Acquired
N,59884285,2002,(408) 556-9391,(408) 446-2427,3216605,$1 bil. - $5 bil.,406449,31265,165706,9919,3240,Employees.1000to4999,6.5,57.3,4841,3679,36;367;3679;48;484;4841;366;3663,516210,515210,33;334;3344;33441;334418;51;516;5162;51621;516210;3342;33422;334220;515;5152;51521;515210,Manufacturing,Telecommunication Equipment,Manufacturing;Media & Internet,Telecommunication Equipment;Broadcasting;Electronics,mfg,mfg.telecom,2144,Public,B2B,Yes,3-Oct-23,333900,126000,Stock Issuance/Offering,27-Sep-17,,Globespan Capital Partners;Menlo Ventures;Fidelity;Hearst Ventures;News Corporation;Sky;Fidelity;Menlo Ventures;Menlo Ventures;Fox Networks Group;Fidelity;Hearst Ventures;Sky;Globespan Capital Partners;Menlo Ventures;Viacom;Netflix;Menlo Ventures;News Corporation;Sky;Globespan Capital Partners;Menlo Ventures;Anthony Wood,San Jose,California,95110,United States,11,
N,47582115,2003,(770) 449-0479,(770) 449-3471,3427129,$1 bil. - $5 bil.,267316,25703,185064,22319,9900,Employees.5000to9999,10.8,10.8,7389,6099,73;738;7389;60;609;6099,522320,522180,52;522;5223;52232;522320;5221;52218;522180,Finance,Credit Cards & Transaction Processing,Finance,Credit Cards & Transaction Processing,finance,finance.creditcards,394646,Public,B2B,Yes,22-Sep-23,2375250,750000,Debt,16-Dec-21,BofA Securities,HarbourVest Partners;Summit Partners;Nautic Partners;Bain Capital;Advantage Capital;HarbourVest Partners;Summit Partners;Nautic Partners;Advent International;Advantage Capital;Undisclosed;GCC Investments;Summit Partners;Advantage Capital Partners;JP Morgan Chase Bank;PNC;BofA Securities;Bain Capital;Merrill Lynch;JP Morgan;Bank of America;Wells Fargo;Advantage Capital Partners,Atlanta,Georgia,30092,United States,15,
N,4606512,1985,(866) 871-8519,(800) 282-1211,5243242,Over $5 bil.,403729,52432,246432,11655,4230,Employees.1000to4999,31.7,47.9,7363,7361,73;736;7361;7363,561320,561311,56;561;5613;56131;561311;56132;561320,Business Services,HR & Staffing,Business Services,HR & Staffing,bizservice,bizservice.hr,182178,Public,B2B,Yes,7-Mar-23,170000,170000,Stock Issuance/Offering,12-Nov-01,,,Coppell,Texas,75019,United States,36,
N,37798366,1943,(610) 225-6800,(610) 948-5101,2791041,$1 bil. - $5 bil.,365626,41865,103268,34944,15500,Employees.10000plus,3.2,3.2,3842,3841,38;384;3842;382;3829;3841,339112,33911,33;339;3391;33911;339112,Manufacturing,Medical Devices & Equipment,Manufacturing,Medical Devices & Equipment,mfg,mfg.medical,339912,Public,B2B,Yes,19-Sep-23,0,0,,,,,Wayne,Pennsylvania,19087,United States,18,
N,371833565,2013,(855) 973-1040,,6583000,Over $5 bil.,394980,65830,164575,37874,16800,Employees.10000plus,110.5,387,7372,5963,42;421;4215;47;473;4731;73;737;7372;59;596;5963,722330,541614,49;492;4922;49221;492210;51;513;5132;51321;513210;54;541;5416;54161;541614;72;722;7223;72233;722330;5415;54151;541511,Transportation,Freight & Logistics Services,Transportation,Freight & Logistics Services,transportation,transportation.freight,575,Public,B2B,Yes,31-Aug-23,5871820,3400000,Stock Issuance/Offering,9-Dec-20,Undisclosed,DST Global;Coatue Management;Sands Capital Ventures;Temasek Capital Management;Darsana Capital Partners;SoftBank Vision Fund;Dragoneer Investment Group;Steamboat Ventures;Pejman Mar Ventures;Khosla Ventures Acquisition;Charles River;Steamboat Ventures;Khosla Ventures Acquisition;Y Combinator;Wellcome Trust;Steamboat Ventures;Kleiner Perkins;Wellcome Trust;GIC;Steamboat Ventures;SoftBank;Y Combinator;DST Global;Coatue Management;T. Rowe Price;Khosla Ventures Acquisition;Charles River;Kleiner Perkins;Steamboat Ventures;Durable Capital Partners LP;Fidelity Management & Research Co.;DST Global;Coatue Management;Y Combinator;GIC;SoftBank Vision Fund;Dragoneer Investment Group;Steamboat Ventures;Temasek;Undisclosed,San Francisco,California,94107,United States,20,
N,40026602,1848,(423) 294-1011,(423) 642-4930,11991000,Over $5 bil.,935298,89932,491631,29386,10665,Employees.10000plus,3.3,4.5,6719,6411,63;632;6324;64;641;6411;6321;67;671;6719;631;6311,551112,524298,55;551;5511;55111;551112;52;524;5241;52411;524114;5242;52421;524210;524113;52429;524298,Insurance,,Insurance;Holding Companies & Conglomerates,,insurance,,52656,Public,B2C,Yes,28-Sep-23,0,0,,,,,Chattanooga,Tennessee,37402,United States,40,
N,19385483,1988,,(408) 428-5001,3561718,$1 bil. - $5 bil.,466585,35617,131783,22995,10200,Employees.10000plus,0,0,7374,7372,73;737;7372;7374,518210,513210,51;513;5132;51321;513210;518;5182;51821;518210;511;5112;51121;511210,Software,Engineering Software,Software,Engineering Software;Business Intelligence (BI) Software,software,software.eng,40336,Public,B2B,Yes,30-Jun-23,300000,300000,Debt,9-Sep-22,BofA Securities;J.P. Morgan Asset Management;HSB,BofA Securities;J.P. Morgan Asset Management;HSB,San Jose,California,95134,United States,27,
N,49302654,1991,(800) 356-3111,(808) 534-4140,4809173,$1 bil. - $5 bil.,586719,48091,96183,100622,38500,Employees.10000plus,0,0,5148,2037,51;514;5148;20;203;2037,424480,311411,42;424;4244;42448;424480;31;311;3114;31141;311411,Manufacturing,Food & Beverage,Manufacturing,Food & Beverage,mfg,mfg.food,422827,Private,B2B,Yes,8-Sep-23,1471437,400000,Share Placement,30-Jul-21,,Total Produce plc,Thousand Oaks,California,91359,United States,12,
N,225575130,1886,+61 293754444,(61)2 9231 6104,13530000,Over $5 bil.,1055340,101475,554730,29111,11000,Employees.10000plus,0,0,6719,6411,67;671;6719;63;632;6324;635;6351;64;641;6411;633;6331;6321,541990,524298,52;524;5242;52429;524298;5241;52411;524114;54;541;5419;54199;541990;52412;524126;52413;524130;524291,Insurance,,Insurance,,insurance,,93388,Public,B2B,Yes,25-Sep-23,833300,833300,Debt,14-Apr-20,,,Sydney,New South Wales,2000,Australia,35,
N,43927242,1994,(337) 233-1307,(337) 235-8037,2282771,$1 bil. - $5 bil.,299043,22827,77614,65379,29000,Employees.10000plus,31.2,50.5,8322,8082,80;808;8082;83;832;8322,624120,621610,62;624;6241;62412;624120;621;6216;62161;621610,Healthcare Services,Elderly Care Services,Healthcare Services,Elderly Care Services,healthservices,healthservices.elderly,467372,Public,B2C,Yes,14-Jul-23,67200,67200,Stock Issuance/Offering,8-Jun-05,,,Lafayette,Louisiana,70508,United States,61,
N,136855787,1986,+91 2266592000,+61 2 9299 2019,2135662,$1 bil. - $5 bil.,172988,32034,79019,18863,13232,Employees.10000plus,0,0,7389,7379,48;489;4899;73;737;7379;738;7389;7372;481;4812;4813,541519,517810,54;541;5415;54151;541519;51;513;5132;51321;513210;517;5178;51781;516;5162;51621;517810;5173;51731;517312,Telecommunications,Telephony & Wireless,Telecommunications;Software,"Telephony & Wireless;Internet Service Providers, Website Hosting & Internet-related Services;Storage & System Management Software",telecom,telecom.telephone,193791,Private,B2B,Yes,20-Apr-23,0,0,,,,,Mumbai,Maharashtra,400070,India,8,
N,350915803,2007,(714) 830-7000,+44 115 828 6431,9654617,Over $5 bil.,753060,72409,521349,30934,21700,Employees.10000plus,0.1,0.1,7374,7323,73;732;7323;737;7374,561450,518210,56;561;5614;56145;561450;51;518;5182;51821;518210,Media & Internet,Data Collection & Internet Portals,Media & Internet;Software,Data Collection & Internet Portals;Financial Software,media,media.data,1078,Private,B2B,Yes,19-Sep-23,0,0,,,,,Costa Mesa,California,92626,United States,11,
N,104334434,1981,(510) 795-8500,,5481101,Over $5 bil.,668694,54811,109622,18486,8200,Employees.5000to9999,3.5,1.9,7379,7373,73;737;7371;7373;7379;35;357;3571;50;504;5045;3575,541512,423430,33;333;3333;33331;333310;334;3341;33411;334111;42;423;4234;42343;423430;54;541;5415;54151;541512;332;3325;33251;332510,Manufacturing,Computer Equipment & Peripherals,Manufacturing;Retail;Software,"Computer Equipment & Peripherals;Consumer Electronics & Computers Retail;Mobile App Development;Multimedia, Games & Graphics Software",mfg,mfg.computers,9019,Public,B2B,Yes,21-Sep-23,0,0,Stock Issuance/Offering,4-Apr-97,,,San Jose,California,95134,United States,9,
N,47730929,1961,(972) 334-7000,(972) 334-6400,23202476,Over $5 bil.,2830702,232024,464049,143745,55000,Employees.10000plus,-0.6,-1.4,2096,2052,20;209;2096;205;2052,311919,31191,31;311;3119;31191;311919,Manufacturing,Food & Beverage,Manufacturing,Food & Beverage,mfg,mfg.food,218980,Private,B2B,Yes,17-Jun-22,0,0,,,,,Plano,Texas,75024,United States,26,
N,7209161,1918,(972) 443-4000,(908) 901-4805,9673000,Over $5 bil.,783513,145095,357901,34440,13300,Employees.10000plus,0.7,10.3,2899,2891,28;281;2816;2819;282;2821;285;2851;289;2891;2899,325998,325520,32;325;3251;32518;325180;3252;32521;325211;3259;32599;325998;3255;32551;325510;32552;325520,Manufacturing,Chemicals & Related Products,Manufacturing,Chemicals & Related Products,mfg,mfg.chemicals,1122295,Public,B2B,Yes,31-Mar-23,1390530,0,Other Financing Round,10-Oct-22,,,Irving,Texas,75039,United States,28,
N,33166475,1957,(208) 384-6161,(208) 331-5757,7142501,Over $5 bil.,578542,107137,264272,15285,6780,Employees.5000to9999,0,0,2499,2493,24;249;2499;242;2421;2429;2493,321999,321219,32;321;3219;32199;321999;3212;32121;321219,Manufacturing,Building Materials,Manufacturing,Building Materials,mfg,mfg.building,311644,Public,B2B,Yes,20-Sep-23,647058,400000,Debt,9-Sep-22,Wells Fargo Capital Finance,Wells Fargo Capital Finance,Boise,Idaho,83702,United States,27,
N,124371024,1908,(918) 573-2000,,11522000,Over $5 bil.,576100,115220,334138,7189,5043,Employees.5000to9999,0.2,3.4,4925,4924,49;492;4925;4923;4924;4922,486210,486110,48;486;4861;48611;486110;22;221;2212;22121;221210;4862;48621;486210;21;213;2131;21311;213112,"Energy, Utilities & Waste","Electricity, Oil & Gas","Energy, Utilities & Waste;Transportation","Electricity, Oil & Gas;Freight & Logistics Services",energy,energy.energy,850372,Private,B2B,Yes,22-Sep-23,107500,107500,Stock Issuance/Offering,17-Aug-05,,,Tulsa,Oklahoma,74172,United States,38,
N,5620322,1936,,,12149881,Over $5 bil.,947690,91124,498145,18532,13000,Employees.10000plus,20,20.1,6324,632,63;632;6324,524114,52411,52;524;5241;52411;524114,Insurance,,Insurance,,insurance,,31009,Private,B2B,Yes,9-Oct-23,0,0,,,,,Chicago,Illinois,60601,United States,7,
N,24561253,1941,+81 338173700,,5276339,Over $5 bil.,643713,52763,105526,32701,11322,Employees.10000plus,0,0,2834,283,28;283;2834,325412,32541,32;325;3254;32541;325412,Manufacturing,Pharmaceuticals,Manufacturing,Pharmaceuticals,mfg,mfg.pharmaceuticals,780001,Private,B2B,Yes,23-Sep-22,0,0,,,,,Tokyo,Tokyo,112-8088,Japan,5,
N,151945299,1975,(877) 662-7447,,10311246,Over $5 bil.,804277,77334,556807,28511,20000,Employees.10000plus,0,0,6799,6211,62;621;6211;67;679;6799,523940,523150,52;523;5239;52394;523940;5231;52315;523150;52311;523110,Finance,Investment Banking,Finance,Investment Banking;Venture Capital & Private Equity,finance,finance.investment,,Private,B2B,Yes,23-Dec-21,0,0,,,,,Malvern,Pennsylvania,19355,United States,2,
N,353608190,1919,(866) 710-4623,,9240000,Over $5 bil.,720720,69300,498960,26151,11600,Employees.10000plus,0,0,6722,6719,61;616;6162;62;621;6211;615;6153;67;672;6722;614;6141;671;6719;60;602;6021,525910,523991,52;523;5239;52394;523940;52399;523991;522;5223;52232;522320;525;5259;52591;525910;5231;52315;523150;5221;52211;522110,Finance,Banking,Finance;Holding Companies & Conglomerates,Banking;Credit Cards & Transaction Processing;Investment Banking,finance,finance.banking,3201,Public,B2B,Yes,7-Sep-23,2375000,2375000,Stock Issuance/Offering,9-Apr-14,,,Detroit,Michigan,48226,United States,70,
N,161136774,1902,(800) 847-4836,,10312700,Over $5 bil.,804390,77345,556885,4641,3256,Employees.1000to4999,0,0,6411,6311,63;631;6311;64;641;6411;62;621;6211;628;6282,524210,524113,52;524;5242;52421;524210;523;5231;52315;523150;5239;52394;523940;5241;52411;524113,Insurance,,Insurance;Finance,Investment Banking;Venture Capital & Private Equity,insurance,,62998,Private,B2B,Yes,5-Sep-23,0,0,,,,,Minneapolis,Minnesota,55415,United States,20,
N,169525920,1927,(773) 628-1000,,2513897,$1 bil. - $5 bil.,203625,37708,93014,42834,19000,Employees.10000plus,0.2,0.9,3699,3679,36;367;3679;361;3613;369;3699;3672;35;355;3559;3674,335999,335313,33;333;3332;33324;333242;335;3353;33531;335313;3359;33599;335999;334;3344;33441;334412;334413,Manufacturing,Electronics,Manufacturing,Electronics,mfg,mfg.electronics,191929,Public,B2B,Yes,19-Sep-23,0,0,,,,,Chicago,Illinois,60631,United States,18,
N,2130620,1959,(800) 253-6500,+49 89 800948474,3458334,$1 bil. - $5 bil.,421916,34583,69166,21383,15000,Employees.10000plus,0,-3,5999,5149,51;512;5122;514;5149;59;599;5999,456199,456120,45;456;4561;45619;456199;45612;456120;44;445;4452;44529;445298;445299,Retail,"Flowers, Gifts & Specialty Stores",Retail,"Flowers, Gifts & Specialty Stores;Grocery Retail;Vitamins, Supplements & Health Stores",retail,retail.gifts,13224,Private,B2B,Yes,25-Apr-23,0,0,,,,,Ada,Michigan,49355,United States,13,
N,24854701,2004,(517) 373-3400,,11216840,Over $5 bil.,269204,112168,269204,71278,50000,Employees.10000plus,0,0,9199,9131,91;913;9131;919;9199,921190,921140,92;921;9211;92114;921140;92119;921190,Government,State,Government,State,government,government.state,3381,Private,B2B,Yes,29-Aug-23,36000,36000,Other Financing Round,16-Mar-18,,,Lansing,Michigan,48933,United States,63,
N,91504888,1990,(630) 410-4800,,9711195,Over $5 bil.,1184765,97111,194223,37198,16500,Employees.10000plus,0,0,5999,5961,59;599;5999;50;508;5087;596;5961,456120,446120,45;456;4561;45612;456120;44;446;4461;44612;446120,Retail,"Flowers, Gifts & Specialty Stores",Retail,"Flowers, Gifts & Specialty Stores",retail,retail.gifts,1238,Public,B2B,Yes,16-Sep-23,123900,123900,Stock Issuance/Offering,30-Oct-07,Undisclosed,Undisclosed,Bolingbrook,Illinois,60440,United States,23,
N,345638177,1993,(800) 789-7366,(215) 662-6300,9900000,Over $5 bil.,1296900,99000,336600,67051,47035,Employees.10000plus,2.5,4,8062,806,80;806;8062,622110,621111,62;622;6221;62211;622110;621;6211;62111;621111,Hospitals & Physicians Clinics,Medical & Surgical Hospitals,Hospitals & Physicians Clinics,Medical & Surgical Hospitals,hospitals,hospitals.hospital,15675,Private,B2B,Yes,12-Jul-23,12000,12000,Grant,27-Dec-16,,,Philadelphia,Pennsylvania,19104,United States,144,
N,128565250,1927,(800) 255-0711,(972) 841-6799,5472222,Over $5 bil.,667611,54722,109444,57022,40000,Employees.10000plus,0,0,5541,5411,54;541;5411;55;554;5541;51;518;5181;519;5194,459991,457120,45;457;4571;45712;457120;44;445;4451;44513;445131;459;4599;45999;459991;44512;445120,Retail,"Convenience Stores, Gas Stations & Liquor Stores",Retail,"Convenience Stores, Gas Stations & Liquor Stores",retail,retail.conveniencestore,22811,Private,B2B,Yes,27-Sep-23,0,0,,,,,Irving,Texas,75063,United States,17,
N,343613364,1927,(316) 517-8270,,5200000,Over $5 bil.,421200,78000,192400,31362,12000,Employees.10000plus,64.9,28.4,3721,372,37;372;3721,336411,33641,33;336;3364;33641;336411,Manufacturing,Aerospace & Defense,Manufacturing,Aerospace & Defense,mfg,mfg.aerospace,55395,Private,B2B,Yes,20-Sep-23,0,0,,,,,Wichita,Kansas,67206,United States,40,
N,3183391,1888,(412) 315-2900,+61 8 9316 5106,12451000,Over $5 bil.,622550,124510,124510,34140,13100,Employees.10000plus,0,-5.3,3353,3341,33;335;3353;333;3334;28;281;2819;334;3341;10;109;1099,331315,331314,33;331;3313;33131;331315;331313;331314;21;212;2122;21229;212290,Manufacturing,Building Materials,Manufacturing;Minerals & Mining,Building Materials,mfg,mfg.building,632141,Public,B2B,Yes,31-Jul-23,7700,7700,Grant,11-Apr-22,Australian Renewable Energy Agency;Clean Energy Future Fund,Australian Renewable Energy Agency;Clean Energy Future Fund,Pittsburgh,Pennsylvania,15212,United States,25,
N,11438187,1966,(847) 808-3000,,6967013,Over $5 bil.,564328,104505,257779,29177,12942,Employees.10000plus,0,0,5999,5961,55;553;5531;59;599;5999;596;5961;50;501;5013;556;5561;509;5091,551112,459110,45;459;4591;45911;459110;55;551;5511;55111;551112;44;441;4413;44133;441330;455;4552;45521;455219;4412;44122;441227;44131;441310,Retail,Sporting & Recreational Equipment Retail,Retail,Sporting & Recreational Equipment Retail;Automobile Dealers,retail,retail.sports,7255,Public,B2B,Yes,14-Jul-23,551000,300000,Debt,15-Dec-21,,,Lincolnshire,Illinois,60069,United States,23,
N,89195983,1853,(415) 501-6000,(415) 501-7112,6168600,Over $5 bil.,752569,61686,123372,40580,18000,Employees.10000plus,0,0,2331,2326,23;233;2331;232;2326;52;26;36;31;51;513,458110,315250,45;458;4581;45811;458110;31;315;3152;31525;315250;3151;31512;315120;31522;315220,Manufacturing,Textiles & Apparel,Manufacturing;Retail,Textiles & Apparel;Apparel & Accessories Retail,mfg,mfg.clothes,263872,Public,B2B,Yes,12-Sep-23,0,0,,,,,San Francisco,California,94111,United States,27,
N,19859977,1973,(312) 786-5600,(312) 786-7409,3958500,$1 bil. - $5 bil.,308763,29688,213759,3478,1543,Employees.1000to4999,0,0.6,8748,6231,62;621;6211;623;6231;87;874;8748,541690,523210,52;523;5232;52321;523210;5231;52315;523150;54;541;5416;54169;541690,Finance,Lending & Brokerage,Finance;Business Services,Lending & Brokerage;Management Consulting,finance,finance.brokerage,86808,Public,B2B,Yes,5-Apr-23,0,0,,,,,Chicago,Illinois,60607,United States,13,
N,48301568,1996,(972) 373-8800,(972) 373-8888,5211000,Over $5 bil.,677430,52110,276183,26300,11666,Employees.10000plus,0.2,0.3,6719,4841,48;483;4833;484;4841;67;671;6719,551112,515120,51;516;5161;51612;55;551;5511;55111;551112;515;5151;51512;515120,Media & Internet,Broadcasting,Media & Internet,Broadcasting,media,media.broadcasting,197229,Public,B2B,Yes,17-Sep-23,140000,140000,Stock Issuance/Offering,23-Nov-03,,,Irving,Texas,75062,United States,41,
N,19726502,2005,(800) 797-2643,,6787471,Over $5 bil.,529422,50906,366523,9266,6500,Employees.5000to9999,0,0,6799,6411,62;628;6282;64;641;6411;67;679;6799;63;631;6311,523940,523910,52;523;5239;52391;523910;52394;523940,Finance,Investment Banking,Finance;Insurance,Investment Banking,finance,finance.investment,17153,Private,B2B,Yes,25-Sep-23,0,0,,,,,Cedar Rapids,Iowa,52499,United States,43,
N,8110529,1992,(410) 694-5700,(410) 694-5750,3844739,$1 bil. - $5 bil.,311423,57671,142255,17864,7924,Employees.5000to9999,0,0,7379,7373,73;737;7373;7372;36;366;3661;7379,541512,513210,33;334;3342;33421;334210;54;541;5415;54151;541512;51;513;5132;51321;513210,Manufacturing,Telecommunication Equipment,Manufacturing;Business Services,Telecommunication Equipment;Custom Software & IT Services,mfg,mfg.telecom,85234,Public,B2B,Yes,15-May-23,615000,500000,Debt,9-Jan-23,J.P. Morgan Asset Management;Citi;Wells Fargo;MUFG Bank;Goldman Sachs,J.P. Morgan Asset Management;Citi;Wells Fargo;MUFG Bank;Goldman Sachs,Hanover,Maryland,21076,United States,25,
N,348481658,2009,(518) 305-9013,+65 6362 2938,8108000,Over $5 bil.,989176,81080,162160,31562,14000,Employees.10000plus,0,0,3679,3674,35;355;3559;36;367;3674;3679,334419,334413,33;334;3344;33441;334419;333;3332;33324;333242;334413,Manufacturing,Electronics,Manufacturing,Electronics,mfg,mfg.electronics,999074,Public,B2B,Yes,25-Aug-23,2860000,2860000,Stock Issuance/Offering,11-Nov-21,,,Malta,New York,12010,United States,25,
N,1999321,1995,(617) 375-7500,(617) 375-7575,10711100,Over $5 bil.,867599,160666,396310,14428,6400,Employees.5000to9999,0,0,7375,4899,48;484;4841;73;737;7375;481;4813;489;4899;4812,517810,517311,51;517;5171;51711;517111;517112;33;334;3342;33422;334220;5178;51781;517810;5173;51731;517311,Telecommunications,Telephony & Wireless,Telecommunications;Manufacturing,"Telephony & Wireless;Internet Service Providers, Website Hosting & Internet-related Services;Telecommunication Equipment",telecom,telecom.telephone,221979,Public,B2C,Yes,14-Mar-23,0,0,,,,,Boston,Massachusetts,2116,United States,37,
N,25674003,2011,(800) 668-6765,,13274269,Over $5 bil.,1075215,199114,491147,31838,12182,Employees.10000plus,0.2,-0.1,3679,3669,36;366;3661;3669;367;3679;3663,334290,334220,33;334;3342;33429;334290;33421;334210;33422;334220,Manufacturing,Telecommunication Equipment,Manufacturing,Telecommunication Equipment,mfg,mfg.telecom,12652,Private,B2B,Yes,11-Sep-23,0,0,,,,,Chicago,Illinois,60654,United States,10,
N,41828942,1939,(515) 376-4500,(515) 235-4445,1666403,$1 bil. - $5 bil.,129979,12498,68322,2541,1783,Employees.1000to4999,4.2,4.2,6324,6321,63;632;6324;6321,524298,524114,52;524;5242;52429;524298;5241;52411;524114,Insurance,,Insurance,,insurance,,110364,Private,B2B,Yes,15-Sep-23,0,0,,,,,Des Moines,Iowa,50309,United States,8,
N,27639844,1925,(561) 694-4000,(561) 694-4999,20956000,Over $5 bil.,1571700,209560,398164,34493,15300,Employees.10000plus,1.1,6.1,6719,4939,67;671;6719;49;493;4931;4939;491;4911,551112,221122,22;221;2211;22111;221118;55;551;5511;55111;551112;22112;221122;221114;221115,"Energy, Utilities & Waste","Electricity, Oil & Gas","Energy, Utilities & Waste","Electricity, Oil & Gas",energy,energy.energy,293845,Public,B2B,Yes,28-Aug-23,0,0,,,,,Juno Beach,Florida,33408,United States,29,
N,30196506,1965,(858) 453-7845,,5972365,Over $5 bil.,728628,59723,119447,64240,28495,Employees.10000plus,12.8,12.8,5999,5199,59;599;5999;51;514;5149;519;5199,459910,453910,45;459;4599;45991;459910;453;4539;45391;453910,Retail,Pet Products,Retail,Pet Products,retail,retail.pet,3165,Public,B2B,Yes,22-Sep-23,864000,864000,Stock Issuance/Offering,14-Jan-21,,,San Diego,California,92127,United States,15,
N,29231431,2003,(415) 489-4940,,2525915,$1 bil. - $5 bil.,330894,25259,93458,15136,6714,Employees.5000to9999,-8.5,-16.9,7389,7374,73;737;7374;7373;738;7389,561410,541512,51;518;5182;51821;518210;54;541;5415;54151;541512;56;561;5614;56141;561410,Software,Legal Software,Software;Business Services,Legal Software;Custom Software & IT Services,software,software.legal,1276,Public,B2B,Yes,21-Sep-23,1055100,629300,Stock Issuance/Offering,27-Apr-18,,"Alliance of Angels;Ignition Partners;Frazier Healthcare Partners;Green Bay Ventures;Bryan Rosenblatt;Brookside Capital;Microsoft;Founders Circle Capital;ICONIQ Capital;ClearBridge Investments;Dell;Generation Investment Management;Bain Capital Ventures;Sigma West;Accel Partners;GV;Telstra;Scale Venture Partners;Salesforce Ventures;Comcast Ventures;Jackson Square Ventures;SAP Ventures;Sapphire Ventures;Cross Creek Advisors;Kleiner Perkins Caufield & Byers;Ignition Partners;National Association of REALTORS;Frazier Healthcare Partners;Sigma Partners;Ignition Partners;Frazier Healthcare Partners;Ignition Partners;Frazier Healthcare Partners;Accel;Sapphire Ventures;Rose Park Advisors;GV;Comcast Ventures;Frazier Healthcare Partners;Salesforce;Sigma Partners;BA Venture Partners;Ignition Partners;Second Century Ventures;WestRiver Group, LLC;Sigma Partners;Ignition Partners;Frazier Healthcare Partners",San Francisco,California,94105,United States,17,
N,168640828,1996,(512) 416-8500,512 464 9444,1018795,$1 bil. - $5 bil.,124292,10187,20375,4427,1964,Employees.1000to4999,1.4,6.2,7373,3674,48;36;366;3669;367;3674;73;737;7373,541512,334413,33;334;3342;33429;334290;54;541;5415;54151;541512;3344;33441;334413;332;3325;33251;332510,Manufacturing,Electronics,Manufacturing;Software,Electronics;Engineering Software;Telecommunication Equipment,mfg,mfg.electronics,58475,Public,B2B,Yes,19-Sep-23,99200,99200,Stock Issuance/Offering,23-Mar-00,,,Austin,Texas,78701,United States,10,
N,36901197,1960,(217) 773-4411,,1330000,$1 bil. - $5 bil.,162260,13300,26600,8981,6300,Employees.5000to9999,0,0,5149,4222,51;514;5149;42;422;4222;421;4214,541614,493120,42;424;4244;42441;424410;49;493;4931;49312;493120;48;488;4889;48899;488999;484;4842;48422;484220;54;541;5416;54161;541614,Retail,Grocery Retail,Retail;Transportation,Grocery Retail;Freight & Logistics Services,retail,retail.grocery,287307,Private,B2B,Yes,26-Sep-23,0,0,,,,,Mount Sterling,Illinois,62353,United States,17,
N,8585365,1967,(312) 822-5000,(312) 822-6419,11879000,Over $5 bil.,926562,89092,487039,13752,6100,Employees.5000to9999,0.5,-10.9,6411,6351,63;633;6331;64;641;6411;635;6351,524210,524128,52;524;5241;52412;524128;5242;52421;524210;524126,Insurance,,Insurance,,insurance,,420695,Public,B2B,Yes,8-Feb-23,0,0,,,,,Chicago,Illinois,60606,United States,79,
N,8258274,1962,(800) 353-0103,(215) 553-5402,5832800,Over $5 bil.,454958,43746,314971,33140,14700,Employees.10000plus,0,0,7379,7372,73;737;7371;7372;7379,541519,541511,54;541;5415;54151;541511;51;513;5132;51321;513210;541519,Software,Financial Software,Software,Financial Software,software,software.finance,50395,Public,B2B,Yes,26-Sep-23,0,0,,,,,Lake Success,New York,11042,United States,34,
N,116245188,1984,(312) 696-6000,+81 3 5511 7541,1870600,$1 bil. - $5 bil.,145906,14029,101012,27558,12224,Employees.10000plus,9.7,19.2,6282,628,62;628;6282,523940,523930,52;523;5239;52394;523940;52393;523930,Finance,Investment Banking,Finance,Investment Banking,finance,finance.investment,7999,Public,B2B,Yes,23-Sep-23,1240831,1100000,Debt,20-May-22,,,Chicago,Illinois,60602,United States,48,
N,5851944,2000,+52 5525813700,(52)55 2581 4422,44062185,Over $5 bil.,3569036,660932,1630300,408520,181205,Employees.10000plus,1.4,1.9,4841,4813,48;481;4812;484;4841;4813,517312,517112,51;517;5171;51711;517112;5173;51731;517312,Telecommunications,Telephony & Wireless,Telecommunications,Telephony & Wireless,telecom,telecom.telephone,385642,Public,B2B,Yes,17-Nov-22,0,0,,,,,Mexico City,Mexico City,11529,Mexico,1,
N,28459040,1831,(212) 998-1212,,15230000,Over $5 bil.,913800,152300,517820,27085,19000,Employees.10000plus,10.4,10.4,8221,822,82;822;8221,711110,621111,61;611;6113;61131;611310;53;531;5311;53111;531110;54;541;5416;54161;541618;71;711;7111;71111;711110;5413;54135;541350;62;621;6211;62111;621111,Education,Colleges & Universities,Education,Colleges & Universities,education,education.university,6643,Private,B2B,Yes,21-Jul-23,0,0,,,,,New York City,New York,10012,United States,84,
